ID,Feed,Sentiment
1, ???? ???? ?????? ???? ?? ???? ... ????? ?? ???? ??? ????? ??????? ???? ... ? 80 % ?? ?????? ?????? ????,Positive
2, ????? ???? ?????? ??? ???? ??? ?????? ?? ??? ???? ?????,Negative
3, ??? ???? ??? ???? ?????,Positive
4, ????? ??? ?? ?????,Negative
5,???? ????? ???? ?????? ???? ?????? ????? ????? ??????? ???? ?????? ? ???? ??????? ??? ?? ???? ???? ??????? ??????? ?????? ??,Negative
6,????? ??? ???? ???? ????? ???? ???? ???? ?????,Positive
7,??? ?????? ???? ????? ??? ?????? ?? ????? ????,Negative
8,??? ????? ??? ????? ????? ???? ?????? ?????,Negative
9,????? ??? ???? ????? ??? ????????? ?????? ?? ? ???????? ??????? ?? ?????? ?? ????  ? ????? ??? ???? ???? ??? ???? ? ?????? ???? ???? ????  ? ??? ??? ???? ???? ????????,Positive
10,???? ?? ???? ???? ?? ????,Positive
11,????? ?? ???? ?? ????? ???? ???? ???????? ?????,Negative
12,???? ??? ??? ?????? ?????,Negative
13,????? ???? ???? ???? ??? ????? ??????? ???????,Negative
14,?????? ???? ???? ?? ????? ,Negative
15,??? ?????? ???? ??? ????? ??????? ??? ?? ???? ???,Negative
16,??? ???? ????? ? ????? ??????,Positive
17,?????? ?? ????? ????? ??????,Negative
18,????? ???? ???? ??? ???? ???? ????,Negative
19,??? ??? ???? ????,Negative
20,???? ??? ????? ????? ???? ????,Positive
21,???? ??? ????? ???? ???? ???????????,Positive
22,?????  ???? ?? ???? ?? ???? ?? ??? ?? ??? ????? ?? ???? ????? ???? ????,Positive
23,????? ???? ???? ???,Positive
24,?????? ???? ????? ??? ??? ???? ??????? ???? ?? ???? ???? ???????? ,Positive
25,???? ?? ??? ????? ?? ??,Negative
26,???? ??? ?????? ???? ???? ?? ????,Positive
27,???? ??? ?? ?????? ????????? ?? ??? ????,Positive
28,???? ??? ??????? ??????? ?? ?????,Positive
29,???? ???? ?? ???? ??? ?? ??????,Positive
30,???? ???? ????? ?? ?????? ???????? ?? ????? ??????.,Negative
31,?????? ?????? ???? ???? ?? ??????,Positive
32,?????? ???? ????? ???? ??????,Positive
33,?? ?? ???? ????? ?? ??????,Negative
34,????? ?????,Negative
35,??? ??? ??? ?????? ?? ?? ???? ?? ???????? ???? ?????? ???? ?????,Negative
36,??? ???? ?? ??? ????? ???????? ?????? ???? ????????,Negative
37,??? ???? ?????,Negative
38,???? ???? ?? ????,Negative
39,???? ?? ???? ?? ????? ??? ?????,Positive
40,??? ???? ?? ???? ???? ???? ????? ??? ?????? ??????  ????? ???? ????? ??? ,Positive
41,??? ?????? ????? ?????? ???? ????? ???? ????? ??? ??? ???? ?????? ??? ????? ???? ????? ???,Positive
42,??? ????? ???? ??? ??? ??? ????? ??????? ??? ???? ?????? ?? ??????? ?? ??? ???????,Negative
43,??? ???? ???? ?? ????? ??????? ?????? ????? ????? ???????,Positive
44,??? ???? ??? ????? ?? ??????? ??? ???? ?? ?? ?? ???? ?????? ??????,Positive
45,"??? ???? ??? ???? ?????? ?? ??? ??????? ??? ??? ??????? ?? ?????? ????? ??? ??? ?? ?????? ?? ????? ?????? ??????",Negative
46,??? ??? ?????? ???? ?? ???? ???? ???? ????? ????? ??????? ??? ?????? ??? ?? ??????? ??????? ?? ?? ?????,Negative
47,??? ??? ???? ???? ?? ???? ??? ???? ???? ????? ????,Negative
48,"??? ???? ?????? ??? ???? ?? ??? ?????? ????? ??? ????? ??????? ???????? ???? ?? ???? ?????? ????? ???? ???? ??? ??? ??????!",Negative
49,??? ?? ??? ?? ????? ??????? ??? ?????,Positive
50,??? ???? ????? ??? ?? ???? ?? ???? ?? ?????? ???? ??? ????,Negative
51,????? ?? ??????? ?????? ?????? ??????? ?? ?????? ???????? ????? ?????? ??????? ???? ???? ???,Positive
52,??????? ???? ??? ??????? ???? ?????? ???? ?????,Negative
53,??????? ?? ??????,Negative
54,???? ??????? ???? ???????? ?????? ???? ???? ???? ?? ????? ???????? ????????? ???? ???????? ???? ???????????? ????,Positive
55,???? ???? ?? ?????? ?? ???? ?? ?? ??? ?????,Positive
56,???? ???? ????? ?? ??????,Positive
57,???? ???? ?? ???? ?? ?????? ??? ???? ?? ????? ????????,Positive
58,???? ???? ?? ??????? ?? ?????? ? ????? ????? ?????? ???? ????? ?????? ?? ?????? ??? ?????? ?? ??? ???? ?? ??? ?????,Positive
59,???? ?? ???? ????? ???????? ?????? ?? ???? ??? ?????? ????? ????? ????? ????? ?????? ??? ???? ?????? ????? ???? ?? ?????,Positive
60,????? ???? ?? ??? ???? ????? ??? ?????? ?? ????? ???? ??????? ????  ??????,Positive
61,????? ???? ???? ??? ??? ???? ??????? ??? ????? ??????,Negative
62,?????? ?? ???? ???????,Negative
63,???????? ????? ?? ??????,Positive
64,?????? ???? ?????? ?????? ???? ????,Negative
65,??????? ????????,Negative
66,???????? ???? ???? ?? ???? ??????,Positive
67,???? ???? ????? ????? ??????,Negative
68,????? ??????? ?????? ?? ??????? ???????? ???????? ?????? ????? ???? ?????? ?????? ???? ?? ????? ??? ???? ????? ?? ?????? ?? ???? ???????,Negative
69,???? ???? ?????? ??????? ????????,Positive
70,???? ?? ?????,Negative
